EmployeeNumber,Attrition,Age,DistanceFromHome,MonthlyIncome,PercentSalaryHike,TrainingTimesLastYear,RatioYearsPerCompany,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Gender,OverTime
394,1,26,16,2373,13,2,1.666666667,3,2,0,2,1,4,1,3,1,2,3,4,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
395,0,28,8,3310,21,3,2.5,5,3,0,2,1,2,4,3,1,4,4,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
396,0,49,10,18665,11,4,2.2,3,2,1,2,2,4,3,3,5,1,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
397,0,36,3,4485,12,2,2,8,0,7,7,1,3,3,3,2,2,3,4,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
399,0,31,5,2789,11,5,1,2,2,2,2,2,3,4,3,1,2,3,3,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
401,1,26,4,5828,12,0,4,8,7,7,4,1,4,4,2,2,4,3,2,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
403,0,37,9,2326,12,3,2,4,2,1,2,2,3,2,3,1,4,3,3,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
404,0,42,26,13525,14,2,3.833333333,20,4,4,8,2,3,3,3,4,2,3,4,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
405,1,18,3,1420,13,2,0,0,0,0,0,1,3,3,3,1,3,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
406,0,35,16,8020,15,3,12,11,9,6,9,1,3,3,3,3,2,3,3,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
407,0,36,18,3688,18,2,0.8,1,0,0,0,2,4,3,4,1,4,3,4,2,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
408,0,51,2,5482,18,3,2.166666667,4,1,1,2,1,3,4,1,2,2,3,4,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
410,0,41,2,16015,19,2,11,22,10,0,4,1,4,4,3,4,2,3,2,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
411,0,18,10,1200,12,2,0,0,0,0,0,1,3,4,2,1,3,3,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
412,0,28,16,5661,19,2,9,8,3,0,7,1,2,2,4,2,1,3,3,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
416,0,31,7,6929,11,3,2,8,7,7,7,1,3,2,4,2,4,3,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
417,0,39,1,9613,17,5,19,18,10,3,7,1,3,3,4,3,4,3,1,3,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
419,0,36,24,5674,15,3,1.375,9,8,0,8,0,4,2,3,2,2,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
420,0,32,7,5484,14,3,6.5,13,8,4,8,1,3,4,2,2,3,3,3,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
421,0,38,25,12061,17,2,4.75,10,8,0,1,1,2,1,2,3,2,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
422,0,58,1,5660,13,2,4,5,3,1,2,0,4,4,1,2,3,3,4,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
423,0,31,5,4821,12,4,6,5,2,0,3,1,4,3,3,1,4,3,3,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
424,0,31,2,6410,12,1,2.25,2,2,1,0,1,3,1,2,2,1,3,4,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
425,0,45,7,5210,18,2,12,24,9,9,11,2,3,1,3,3,1,3,1,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
426,0,31,2,2695,18,2,3,2,2,2,2,1,4,3,3,1,4,3,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
428,0,33,5,11878,11,2,1.714285714,10,6,8,8,2,4,4,3,3,2,3,2,2,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
429,0,39,10,17068,14,3,10.5,21,9,11,10,1,1,3,3,4,1,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
430,0,43,10,2455,19,5,9,8,7,1,7,2,4,3,3,1,4,3,1,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
431,0,49,1,13964,12,2,3.125,7,1,0,7,1,2,3,2,4,3,3,4,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
433,1,52,8,4941,15,3,3.666666667,8,2,7,7,1,4,3,2,2,2,3,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
434,0,27,5,2478,12,2,2,4,3,1,2,1,3,3,3,1,2,3,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
436,0,32,8,5228,11,2,6.5,13,12,11,9,1,2,3,2,2,2,3,4,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
437,0,27,2,4478,11,3,2.5,5,4,0,4,1,3,4,3,2,3,3,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
438,0,31,7,7547,12,3,2.6,7,7,1,7,1,3,4,3,2,4,3,4,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
439,0,32,2,5055,16,0,1.25,7,7,0,7,1,4,1,4,2,4,3,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
440,1,28,2,3464,13,4,0.833333333,3,2,2,2,1,4,1,1,1,4,3,4,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
441,0,30,28,5775,13,2,5.5,10,8,1,9,1,2,4,3,2,4,3,4,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
442,0,31,7,8943,24,2,5,10,9,8,9,2,2,3,2,3,3,4,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
444,0,39,7,19272,15,2,10.5,21,9,13,3,2,2,3,2,5,4,3,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
445,1,39,3,5238,18,3,2.4,1,0,0,0,1,2,4,3,2,3,3,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
446,0,33,10,4682,14,6,2.25,7,7,0,1,2,3,2,2,2,4,3,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
447,0,47,5,18300,11,2,4.2,3,2,1,1,1,5,4,3,5,3,3,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
448,0,43,10,5257,11,3,4.5,9,7,0,0,2,4,3,2,2,3,3,2,1,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
449,0,27,1,6349,13,0,6,5,4,1,4,0,1,3,3,2,2,3,4,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
450,0,54,20,4869,12,4,5,4,3,0,3,2,4,4,3,2,3,3,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
451,0,43,7,9985,16,1,1.111111111,1,0,0,0,1,3,3,3,3,1,3,1,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
452,0,45,8,3697,14,3,1.2,10,9,9,8,1,4,4,3,2,4,3,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
453,0,40,1,7457,22,2,2,4,3,0,2,1,2,2,1,2,4,4,3,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
454,1,29,8,2119,11,4,3.5,7,7,0,7,1,4,2,1,1,1,3,4,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
455,0,29,9,3983,17,2,4,3,2,2,2,1,5,2,2,1,4,3,3,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
456,0,30,5,6118,13,2,5,10,9,1,2,1,3,4,2,2,3,3,3,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
458,0,27,8,6214,18,3,4,8,7,0,7,1,4,2,3,2,2,3,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
460,0,37,5,6347,16,2,1,6,2,0,4,1,2,4,3,2,4,3,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
461,0,38,15,11510,14,3,12,11,10,2,9,1,2,3,2,3,4,3,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
462,0,31,7,7143,14,2,5.5,11,9,4,10,1,4,3,3,3,4,3,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
463,0,29,10,8268,14,2,3.5,7,7,1,7,1,1,4,2,2,2,3,1,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
464,0,35,5,8095,13,5,17,16,6,0,13,1,4,3,3,3,2,3,4,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
465,0,23,26,2904,12,2,2,4,2,0,2,1,1,3,3,1,4,3,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
466,0,41,6,6032,15,3,1.142857143,5,4,1,2,1,3,4,2,2,2,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
467,0,47,4,2976,19,3,1.25,0,0,0,0,2,1,2,3,2,3,3,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
468,0,42,23,15992,14,2,5.333333333,1,0,0,0,1,5,1,3,4,4,3,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
469,0,29,2,4649,14,3,2,4,3,0,2,0,3,4,3,2,3,3,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
470,0,42,2,2696,11,5,4,3,2,1,0,1,1,3,3,1,3,3,3,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
471,0,32,2,2370,13,4,4,8,0,0,7,1,3,3,3,1,2,3,3,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
473,0,48,29,12504,21,3,3.75,0,0,0,0,1,1,1,3,3,3,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
474,0,37,6,5974,13,2,2.6,7,7,6,7,1,3,3,4,2,1,3,1,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
475,0,30,25,4736,12,2,0.5,2,2,2,2,0,2,4,3,2,3,3,2,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
476,0,26,1,5296,17,3,4,8,7,7,7,1,3,3,3,2,3,3,2,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
477,0,42,2,6781,23,6,3.5,1,0,0,0,1,4,1,2,2,4,4,2,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
478,1,21,1,2174,11,3,1.5,3,2,1,2,2,1,1,2,1,2,3,3,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
479,0,36,1,6653,15,6,1.4,1,0,0,0,0,5,4,3,2,4,3,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
481,0,36,3,9699,11,2,3.2,13,9,1,12,2,4,1,2,3,4,3,1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
482,0,57,1,6755,11,2,5,3,2,1,2,1,4,4,3,2,3,3,3,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
483,0,40,10,2213,13,3,2.5,7,7,1,7,1,4,4,4,1,3,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
484,0,21,9,2610,24,3,1.5,3,2,2,2,0,2,1,3,1,4,4,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
485,1,33,5,2851,13,2,0.5,1,0,0,0,1,3,4,3,1,3,3,2,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
486,0,37,10,3452,20,3,2.428571429,5,4,0,3,1,3,3,3,1,1,4,2,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
487,0,46,7,5258,14,2,2.333333333,1,0,0,0,0,4,3,3,2,3,3,3,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
488,1,41,4,9355,18,5,4,8,7,7,7,2,3,1,3,2,2,3,3,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
491,0,50,10,10496,15,2,2.857142857,4,3,1,3,1,3,4,2,3,4,3,4,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
492,1,40,22,6380,12,6,2.666666667,6,4,1,0,1,2,3,2,2,3,3,1,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
493,0,31,9,2657,16,5,3,2,2,2,2,1,4,3,2,1,2,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
494,1,21,12,2716,15,0,0.5,1,0,0,0,1,3,3,4,1,2,3,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
495,0,29,23,2201,16,4,0.6,3,2,1,2,1,3,4,3,1,4,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
496,0,35,9,6540,19,5,1,1,1,0,0,1,4,3,2,2,2,3,3,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
497,0,27,1,3816,11,2,2.5,5,2,0,4,1,2,4,3,1,2,3,2,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
498,0,28,9,5253,16,1,3.5,7,5,0,7,1,4,2,3,2,4,3,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
499,0,49,7,10965,24,2,2.888888889,5,2,0,0,1,3,2,2,3,3,4,3,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
500,0,51,14,4936,11,2,3.6,7,7,0,7,1,2,3,3,2,4,3,3,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
501,0,36,2,2543,13,3,1.2,2,2,2,2,1,3,4,3,1,3,3,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
502,1,34,19,5304,13,3,1,5,2,0,4,0,3,1,4,2,4,3,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
505,0,55,2,16659,13,2,10,5,4,1,2,1,3,3,3,4,4,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
507,0,24,10,4260,12,2,2.5,5,2,0,3,1,4,4,3,2,3,3,4,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
508,0,30,2,2476,18,3,0.5,1,0,0,0,1,1,3,3,1,2,3,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
510,1,26,3,3102,22,2,7,6,4,0,4,2,1,3,3,1,1,4,3,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
511,0,22,11,2244,13,1,1,2,1,1,2,1,3,1,3,1,2,3,4,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
513,0,36,2,7596,13,2,5,10,9,9,0,1,2,2,2,3,3,3,2,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
514,1,30,4,2285,23,4,0.3,1,0,0,0,2,3,3,3,1,4,4,3,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
515,0,37,14,3034,12,2,9,18,7,12,17,1,3,4,3,1,1,3,3,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
516,0,40,2,5715,12,5,1,5,4,1,3,1,2,4,3,2,2,3,3,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
517,0,42,1,2576,16,5,2,5,2,1,2,1,4,2,3,1,1,3,2,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
518,0,37,10,4197,12,2,6,1,0,0,1,1,4,3,3,2,2,3,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
520,0,43,12,14336,11,3,12.5,25,10,3,9,1,3,1,2,4,2,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
521,0,40,2,3448,22,3,2.857142857,1,0,0,0,1,3,2,2,2,3,4,2,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
522,0,54,5,19406,11,4,4.8,4,2,1,2,1,2,1,3,5,1,3,3,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
523,0,34,4,6538,15,3,0.6,3,2,1,2,0,4,3,3,2,3,3,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
524,0,31,7,4306,12,5,6.5,13,10,3,12,1,2,2,3,2,1,3,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
525,0,43,21,2258,20,1,1,3,2,1,2,2,3,4,3,1,4,4,1,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
526,0,43,8,4522,14,3,1.6,5,2,0,2,1,4,3,3,2,3,3,4,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
527,0,25,4,4487,11,3,2.5,5,4,1,3,1,2,2,2,2,4,3,2,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
529,0,37,25,4449,15,2,3.75,13,11,10,7,0,5,2,3,2,3,3,1,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
530,0,31,1,2218,12,3,2,4,2,3,2,1,2,4,2,1,1,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
531,0,39,1,19197,14,3,10.5,21,8,1,6,2,1,2,3,5,3,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
532,0,56,6,13212,11,0,3.6,7,7,7,7,2,3,3,4,4,1,3,4,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
533,0,30,12,6577,11,6,6,5,4,4,4,1,3,2,3,2,3,3,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
534,0,41,1,8392,16,2,5,10,7,0,7,1,3,2,4,3,1,3,3,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
536,0,28,17,4558,12,2,5,10,0,1,8,1,2,3,3,2,1,3,4,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
538,1,25,3,4031,13,5,1,2,2,0,2,1,3,1,3,1,1,3,3,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
543,0,52,3,7969,14,4,9.333333333,5,4,0,4,1,3,4,2,3,3,3,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
544,0,45,10,2654,21,3,2,2,2,0,2,1,2,1,3,1,4,4,4,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
546,0,52,4,16555,13,2,10.33333333,5,2,1,4,1,2,4,3,4,4,3,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
547,0,42,29,4556,11,3,6.333333333,5,4,0,2,2,2,1,3,2,3,3,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
548,0,30,2,6091,20,2,3.666666667,5,4,0,2,1,3,3,1,2,4,4,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
549,0,60,7,19566,11,5,5.5,29,8,11,10,1,3,1,3,5,1,3,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
550,0,46,18,4810,14,5,6.333333333,10,7,0,8,1,3,3,3,2,3,3,3,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
551,0,42,28,4523,11,4,7,6,5,0,4,2,4,4,2,2,4,3,4,3,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
554,1,24,1,3202,16,4,3,5,3,1,4,1,1,1,3,1,2,3,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
555,1,34,6,2351,16,3,3,2,2,1,0,2,2,4,1,1,3,3,4,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
556,0,38,2,1702,23,3,0.5,1,0,0,0,2,2,4,3,1,4,4,3,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
558,0,40,2,18041,14,2,21,20,15,1,12,1,4,3,3,5,3,3,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
560,0,26,23,2886,22,3,1.5,3,2,0,2,1,3,1,3,1,4,4,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
562,0,30,3,2097,15,3,1.8,5,3,1,4,0,3,3,3,1,4,3,3,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
564,0,29,3,11935,18,2,5,10,2,0,7,1,4,2,2,3,3,3,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
565,1,29,25,2546,16,2,1,2,2,1,1,1,5,3,2,1,2,3,2,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
566,1,19,2,2564,12,3,0.5,1,0,0,0,1,2,1,2,1,4,3,3,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
567,0,30,22,8412,11,3,10,9,8,7,8,0,4,3,3,3,1,3,3,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
568,0,57,29,14118,12,3,8,1,0,0,0,1,3,1,2,4,4,3,3,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
569,0,50,29,17046,15,2,28,27,10,15,7,1,4,2,2,4,3,3,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
571,0,30,2,2564,14,2,12,11,7,6,7,0,3,3,3,1,4,3,3,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
573,0,60,28,10266,19,5,4.4,18,13,13,11,2,3,3,2,3,1,3,4,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
574,0,47,2,5070,13,2,3.333333333,5,0,0,4,1,2,1,3,2,4,3,3,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
575,0,46,2,17861,13,2,3.714285714,3,2,0,1,1,3,1,3,4,3,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
577,0,35,22,4230,15,2,6,5,4,4,3,1,3,4,1,1,3,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
578,0,54,8,3780,11,3,2.375,1,0,0,0,1,4,3,3,2,3,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
579,0,34,2,2768,12,3,3.5,7,3,5,7,1,4,4,2,1,3,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
580,0,46,10,9071,19,3,5,3,2,1,2,1,3,3,2,3,4,3,3,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
